ref_to_dyn_ref_type_parse_refused	4	error near 'fn' at line 9 col 1
field_read_through_ref_to_box_refused	1	error [fn main]: field read: struct 'Box$G1$D' has no field 'v'
let_ref_struct_pattern_irrefutable_refused	1	error [fn deref2]: 'let <pattern> = expr;' currently supports struct patterns only (other shapes are refutable; use 'mat
letelse_ref_pattern_binding_undefined_refused	1	error [fn get]: undefined variable 'x'
method_autoderef_double_ref_option_infer_refused	1	error [fn get]: could not infer type arguments for generic method 'Option__is_some'
at_binding_whole_struct_wild_fields_refused	1	error [fn g]: cannot move out of 'D' into pattern binding 'y': type 'D' implements the Drop trait, so its destructor mus
array_lit_box_elem_unsize_to_dyn_no_vtable	1	<no error line>
operator_trait_rhs_type_param_refused	1	error [fn D__add]: impl Add for D: method 'add' does not match the trait declaration: parameter 1 is declared 'D' and th
struct_lit_mutref_field_unannotated_static_borrow_refused	1	error [fn main]: struct literal 'HM' field 'm': variance mismatch — expected &static mut &static i64, got &mut &static
ifexpr_arm_extended_field_borrow_refused	1	error [fn main]: '__rtmp_0' does not live long enough: it is borrowed by 'k', which is used here after '__rtmp_0' goes o
array_temp_elem_field_store_refused	1	error [fn main]: assignment target too deeply nested to assign in place yet; bind an intermediate (e.g. `let r = &mut <i
at_binding_array_sub_verifier_error_refused	1	error: 'arith.cmpi' op operand #0 must be signless-integer-like, but got '!llvm.ptr'
variant_tuple_door_struct_shape_sub_unresolved	1	error [fn inner]: undefined variable 'f'
call_arg_deref_coercion_double_ref	1	error [fn sum]: call to 'sum' arg 1: expected &List, got &&List
let_at_binding_struct_pattern_moved_variable_refused	1	error [fn g]: use of moved variable 'y'
variant_payload_nested_at_pattern_refused	1	error [fn g]: pattern E::V: nested patterns inside enum-variant payloads are not yet supported; bind to a name and match
refptr_inner_region_elision_demands_static_refused	0	<no error line>
array_field_store_value_reads_field_loan_refused	1	error [fn main]: cannot borrow 's.xs' as mutable: 's.xs' is already borrowed
ptr_array_in_tuple_param_gep_verifier_refused	1	error: 'llvm.getelementptr' op operand #0 must be LLVM pointer type or LLVM dialect-compatible vector of LLVM pointer ty
